x_v2_m,z_wand_m,winkel_grad,n_saeulen,ux_erstezelle_ms,ux_rel,cp_erstezelle,p_erstezelle_Pa,anteil_ux_negativ,umag_erstezelle_ms
1.60216,0.974,-0,21,3.39087,0.113029,0.063726,35.1289,0,4.0017
1.60616,0.974,-26.5651,21,0.79558,0.0265193,-0.0322329,-17.7684,0.0952381,1.25275
1.61016,0.978,-26.5651,21,2.65761,0.0885869,-0.00112355,-0.619359,0,3.09118
1.61416,0.978,-26.5651,21,0.753476,0.0251159,0.146403,80.7044,0.0952381,1.20932
1.61816,0.982,-26.5651,21,2.46714,0.0822379,-0.0413975,-22.8204,0.047619,3.03349
1.62216,0.982,-26.5651,21,0.625684,0.0208561,0.129765,71.5328,0.238095,1.62666
1.62616,0.986,-42.1376,21,1.74574,0.0581914,-0.0301263,-16.6071,0.190476,3.08239
1.63016,0.989238,-26.5651,21,3.36103,0.112034,0.0339488,18.7143,0.142857,4.02664
1.63416,0.99,-30.7627,21,1.20925,0.0403083,-0.129639,-71.4636,0.0952381,1.78958
1.63816,0.994,-26.5651,21,3.26843,0.108948,-0.0257973,-14.2208,0.047619,3.86784
1.64216,0.994,-26.5651,21,0.975334,0.0325111,-0.103559,-57.087,0.142857,1.39288
1.64616,0.998,-26.5651,21,3.00906,0.100302,-0.0837982,-46.1938,0,3.53516
1.65016,0.998,-26.5651,21,0.681848,0.0227283,-0.0527861,-29.0983,0.190476,1.26564
1.65416,1.002,-26.5651,21,3.0668,0.102227,-0.0509932,-28.11,0,3.65266
1.65816,1.002,-26.5651,21,0.708753,0.0236251,0.0480383,26.4811,0.238095,1.80949
1.66216,1.006,-43.6028,21,1.98862,0.0662875,0.00406397,2.24026,0.142857,3.4728
1.66616,1.00962,-26.5651,21,4.29119,0.14304,0.0147683,8.14104,0.047619,4.88079
1.67016,1.01,-28.706,21,1.3617,0.04539,-0.191262,-105.433,0.0952381,1.86024
1.67416,1.014,-26.5651,21,3.7905,0.12635,-0.0301973,-16.6463,0,4.35761
1.67816,1.014,-26.5651,21,1.24709,0.0415696,-0.114211,-62.9591,0,1.65211
1.68216,1.018,-26.5651,21,3.34335,0.111445,-0.030386,-16.7503,0,3.9056
1.68616,1.018,-26.5651,21,0.812619,0.0270873,0.0745797,41.1121,0.0952381,1.14649
1.69016,1.022,-26.5651,21,2.35265,0.0784216,0.0451439,24.8856,0,3.4915
1.69416,1.022,-26.5651,21,-0.0696706,-0.00232235,0.0920402,50.7371,0.619048,1.39182
1.69816,1.026,-45,21,0.0897831,0.00299277,-0.0394613,-21.753,0.666667,2.0264
1.70216,1.03,-26.5651,21,4.19987,0.139996,-0.0981366,-54.0978,0,5.12187
1.70616,1.03,-24.3411,21,-0.0547375,-0.00182458,-0.309679,-170.711,0.619048,1.16815
1.71016,1.03362,-26.5651,21,4.12303,0.137434,-0.124584,-68.677,0,4.72693
1.71416,1.034,-17.1985,21,1.01784,0.0339279,-0.0800454,-44.125,0,1.57407
1.71816,1.0361,-26.5651,21,2.51826,0.0839419,-0.0535333,-29.5102,0.238095,3.11406
1.72216,1.038,-24.3411,21,2.59633,0.0865443,0.0508344,28.0224,0,2.94067
1.72616,1.03971,-26.5651,21,2.1485,0.0716168,-0.109889,-60.576,0.142857,2.74869
1.73016,1.042,-26.5651,21,3.1958,0.106527,-0.0054943,-3.02873,0,3.68433
1.73416,1.04371,-26.5651,21,2.52302,0.0841008,-0.182108,-100.387,0.047619,3.19305
1.73816,1.046,-24.3411,21,3.11196,0.103732,-0.151286,-83.3964,0.0952381,3.59446
1.74216,1.04733,-26.5651,21,2.28501,0.0761668,-0.0224505,-12.3759,0,2.97293
1.74616,1.05,-24.3411,21,3.25594,0.108531,-0.369721,-203.808,0.047619,3.82983
1.75016,1.05095,-26.5651,21,1.99135,0.0663784,-0.159179,-87.7475,0,2.59435
1.75416,1.054,-20.8545,21,3.04468,0.101489,-0.210849,-116.23,0.047619,3.77902
1.75816,1.054,-26.5651,21,0.86953,0.0289843,-0.269216,-148.406,0.142857,1.44562
1.76216,1.058,-26.5651,21,3.40226,0.113409,-0.176255,-97.1608,0,4.04359
1.76616,1.058,-26.5651,21,0.577434,0.0192478,-0.201965,-111.333,0.190476,1.15935
1.77016,1.062,-26.5651,21,3.61838,0.120613,-0.0540577,-29.7993,0,4.27557
1.77416,1.062,-26.5651,21,0.618721,0.020624,-0.371898,-205.009,0.190476,1.13845
1.77816,1.066,-26.5651,21,4.16066,0.138689,-0.117603,-64.8288,0,4.8117
1.78216,1.066,-26.5651,21,0.897948,0.0299316,-0.00647826,-3.57114,0.0952381,1.48008
1.78616,1.07,-26.5651,21,4.46692,0.148897,-0.295599,-162.949,0,5.03879
