x_of13_m,x_v2_m,z_m,winkel_grad,n_facetten,tau_t_m2s2,cf,cp_wand,p_wand_Pa,wandabstand_m,u_erstezelle_ms
0.433324,2.63962,1.1853,2.4681,20,-2.09567,-0.00465705,-0.524228,-288.981,0.000312272,20.0218
0.445205,2.6515,1.18479,2.46922,30,-2.12604,-0.00472453,-0.534198,-294.477,0.000312437,20.2273
0.457115,2.66341,1.18427,2.62733,20,-2.19979,-0.00488842,-0.556305,-306.663,0.000312568,20.7034
0.466568,2.67287,1.18381,3.72882,20,-2.32442,-0.00516538,-0.594237,-327.573,0.000312611,21.4698
0.475802,2.6821,1.18306,4.96523,20,-2.20658,-0.00490351,-0.567201,-312.669,0.000312404,20.5335
0.485912,2.69221,1.18213,5.25105,20,-2.07838,-0.00461863,-0.539786,-297.557,0.000312304,19.826
0.495306,2.70161,1.18126,5.24913,20,-2.02748,-0.00450551,-0.529598,-291.941,0.000312621,19.5654
0.504658,2.71096,1.1804,5.24752,20,-2.00989,-0.00446643,-0.525411,-289.633,0.000312318,19.4876
0.514013,2.72031,1.17954,5.2508,20,-2.02162,-0.0044925,-0.52742,-290.74,0.000312336,19.5826
0.524118,2.73042,1.17862,5.59002,20,-2.07597,-0.00461326,-0.540708,-298.065,0.000312522,19.9566
0.535489,2.74179,1.17744,6.94725,30,-2.1886,-0.00486355,-0.572867,-315.793,0.000312453,20.6296
0.545112,2.75141,1.17606,8.57479,10,-1.99263,-0.00442807,-0.521314,-287.374,0.000312503,19.1446
0.554719,2.76102,1.17454,8.95544,30,-1.82259,-0.00405019,-0.482675,-266.075,0.000312446,18.198
0.566941,2.77324,1.17262,8.95383,20,-1.69316,-0.00376257,-0.449388,-247.725,0.000312649,17.438
0.57597,2.78227,1.17119,8.9469,20,-1.63236,-0.00362747,-0.42972,-236.883,0.000312666,17.0594
0.586068,2.79237,1.16961,8.72737,20,-1.57034,-0.00348965,-0.408287,-225.068,0.000312577,16.6467
0.595287,2.80159,1.16823,8.31335,20,-1.56268,-0.00347261,-0.398283,-219.554,0.000312691,16.6633
0.604949,2.81125,1.16685,8.15072,20,-1.59553,-0.00354563,-0.39937,-220.153,0.000312591,16.9031
0.614568,2.82087,1.16547,8.15857,20,-1.60765,-0.00357256,-0.394708,-217.583,0.000312675,16.9795
0.623699,2.83,1.16416,8.1565,20,-1.61377,-0.00358615,-0.390222,-215.11,0.000312956,17.023
0.63392,2.84022,1.16269,8.15479,20,-1.616,-0.00359112,-0.385231,-212.359,0.00031245,17.043
0.64282,2.84912,1.16142,8.15802,20,-1.6076,-0.00357244,-0.379173,-209.019,0.000312429,16.985
0.652908,2.85921,1.15997,7.03362,20,-1.56856,-0.0034857,-0.366006,-201.761,0.000312452,16.6872
0.664727,2.87103,1.15872,5.46612,30,-1.63906,-0.00364235,-0.377473,-208.082,0.000312396,17.3553
0.67621,2.88251,1.15774,8.23201,20,-2.26064,-0.00502365,-0.619494,-341.496,0.000312621,21.1788
0.685921,2.89222,1.15565,12.1606,20,-1.62636,-0.00361413,-0.441753,-243.516,0.000312575,16.7814
0.695679,2.90198,1.15355,12.161,20,-1.40271,-0.00311713,-0.397615,-219.185,0.000312832,15.4372
0.704886,2.91119,1.15156,46.9629,20,-1.007,-0.00223777,-0.352556,-194.346,0.000312393,14.2241
0.71283,2.91913,1.13518,14.8144,100,-0.189573,-0.000421273,-0.262166,-144.519,0.000191259,2.86891
0.724177,2.93048,1.14646,-23.7218,40,-0.801026,-0.00178006,-0.370437,-204.203,0.000237547,10.0626
0.734192,2.94049,1.14457,11.1436,40,-0.853858,-0.00189746,-0.355602,-196.025,0.000252593,9.18498
0.743367,2.94967,1.14268,10.3739,40,-0.802979,-0.0017844,-0.341548,-188.278,0.000292609,9.1416
0.754495,2.9608,1.14085,13.3308,50,-0.919589,-0.00204353,-0.348712,-192.227,0.000310777,10.5046
0.766094,2.97239,1.1373,11.6044,50,-0.626714,-0.0013927,-0.313084,-172.588,0.000312443,7.49371
0.776206,2.98251,1.13639,12.8097,30,-0.978422,-0.00217427,-0.342854,-188.999,0.00031242,11.0488
0.785073,2.99137,1.13298,15.4224,50,-0.591542,-0.00131454,-0.303335,-167.213,0.000312528,7.15578
0.796067,3.00237,1.13091,12.0412,40,-0.724637,-0.0016103,-0.309468,-170.594,0.000312408,8.49831
0.805516,3.01182,1.12862,13.7696,40,-0.711843,-0.00158187,-0.303893,-167.521,0.000312403,8.48041
0.815465,3.02177,1.12616,13.9812,40,-0.703519,-0.00156338,-0.298727,-164.673,0.000312518,8.27245
0.824471,3.03077,1.1239,14.2482,40,-0.692867,-0.0015397,-0.294452,-162.317,0.000312568,8.12195
0.8344,3.0407,1.12135,14.6542,40,-0.673091,-0.00149576,-0.287973,-158.745,0.000312519,7.98098
0.843858,3.05016,1.11883,15.0489,40,-0.643731,-0.00143051,-0.279359,-153.997,0.000312494,7.73792
0.853309,3.05961,1.11627,13.8808,40,-0.616279,-0.00136951,-0.271881,-149.875,0.00031245,7.45432
0.864357,3.07066,1.11376,16.671,50,-0.714748,-0.00158833,-0.266552,-146.937,0.000312575,8.77557
0.875908,3.08221,1.1095,16.8662,50,-0.450861,-0.00100191,-0.257033,-141.69,0.00031437,6.23346
0.886758,3.09306,1.10697,14.5987,40,-0.544305,-0.00120957,-0.251052,-138.392,0.000315366,7.58172
0.89651,3.10281,1.10413,16.4427,40,-0.524823,-0.00116627,-0.244865,-134.982,0.000315425,7.57387
0.905959,3.11226,1.10131,16.7486,40,-0.502683,-0.00111707,-0.238285,-131.355,0.000315393,7.53201
0.915436,3.12174,1.09844,16.9027,40,-0.484311,-0.00107625,-0.232564,-128.201,0.000315462,7.51276
0.925007,3.13131,1.09552,16.9987,40,-0.468637,-0.00104141,-0.227411,-125.36,0.000315353,7.50743
0.934339,3.14064,1.09266,17.1018,40,-0.457813,-0.00101736,-0.223455,-123.18,0.000313402,7.53173
0.944035,3.15033,1.08966,17.3551,40,-0.449488,-0.000998862,-0.220373,-121.481,0.000312452,7.56978
0.953612,3.15991,1.08664,16.436,40,-0.439722,-0.000977161,-0.217585,-119.944,0.000312368,7.60361
