x_v2_m,z_wand_m,winkel_grad,n_saeulen,ux_erstezelle_ms,ux_rel,cp_erstezelle,p_erstezelle_Pa,anteil_ux_negativ,umag_erstezelle_ms
1.60216,0.972,-45,11,2.54917,0.0849722,0.0140977,7.77135,0,3.03167
1.61016,0.98,-45,11,4.35833,0.145278,0.0930144,51.2742,0,5.95492
1.61816,0.988,-26.5651,11,7.4962,0.249873,-0.0678509,-37.4028,0,8.31021
1.62616,0.988,-26.5651,11,2.86167,0.0953888,0.0491043,27.0687,0,3.374
1.63416,0.996,-26.5651,11,6.96072,0.232024,-0.104996,-57.8791,0,7.60403
1.64216,0.996,-26.5651,11,2.45764,0.0819212,0.0169658,9.35238,0,2.93553
1.65016,1.004,-26.5651,11,6.34062,0.211354,-0.0346566,-19.1044,0,6.87492
1.65816,1.004,-26.5651,11,2.06007,0.0686691,-0.0746332,-41.1416,0,2.50688
1.66616,1.012,-26.5651,11,6.00557,0.200186,-0.105318,-58.0564,0,6.57309
1.67416,1.012,-26.5651,11,2.97529,0.0991763,0.0190696,10.5121,0,3.54449
1.68216,1.02,-45,11,4.71523,0.157174,0.0398148,21.9479,0,6.38984
1.69016,1.028,-26.5651,11,7.88989,0.262996,-0.163096,-89.9065,0,8.67241
1.69816,1.028,-26.5651,11,3.32087,0.110696,-0.0401751,-22.1465,0,3.8849
1.70616,1.036,-26.5651,11,7.18716,0.239572,-0.196677,-108.418,0,7.79792
1.71416,1.036,-26.5651,11,3.11083,0.103694,-0.00980262,-5.40369,0,3.66919
1.72216,1.044,-26.5651,11,6.75993,0.225331,-0.222616,-122.717,0,7.37126
1.73016,1.044,-26.5651,11,2.94357,0.0981191,-0.117493,-64.7678,0,3.44945
1.73816,1.052,-26.5651,11,6.69979,0.223326,-0.198506,-109.427,0,7.27941
1.74616,1.052,-26.5651,11,2.55486,0.0851618,-0.227692,-125.515,0,3.04913
1.75416,1.06,-26.5651,11,6.67759,0.222586,-0.210942,-116.282,0,7.21292
1.76216,1.06,-26.5651,11,2.8654,0.0955134,-0.131918,-72.7197,0,3.36623
1.77016,1.068,-26.5651,11,6.92325,0.230775,-0.247418,-136.389,0,7.39873
1.77816,1.068,-26.5651,11,2.81098,0.0936992,-0.102804,-56.6704,0,3.37309
1.78616,1.076,-26.5651,11,7.03553,0.234518,-0.277429,-152.933,0,7.56383
1.79416,1.076,-26.5651,11,3.1114,0.103713,-0.196482,-108.311,0,3.68649
1.80216,1.084,-26.5651,11,7.38527,0.246176,-0.32942,-181.593,0,7.97678
1.81016,1.084,-7.76517,11,3.90692,0.130231,-0.295586,-162.942,0,4.21376
1.81816,1.08618,-26.5651,11,2.94328,0.0981092,-0.314512,-173.375,0,3.5635
1.82616,1.092,-19.9831,11,5.28151,0.17605,-0.301983,-166.468,0,5.61339
1.83416,1.092,-26.5651,11,2.23009,0.0743365,-0.265064,-146.116,0,2.75245
1.84216,1.1,-26.5651,11,6.7357,0.224523,-0.334978,-184.657,0,7.18189
1.85016,1.1,-26.5651,11,2.83752,0.0945839,-0.287264,-158.354,0,3.34629
1.85816,1.108,-26.5651,11,7.97307,0.265769,-0.344587,-189.953,0,8.55438
1.86616,1.108,-0,11,3.73871,0.124624,-0.38014,-209.552,0,3.99256
1.87416,1.108,-26.5651,11,0.741037,0.0247012,-0.407839,-224.821,0,0.923525
1.88216,1.116,-26.5651,11,5.96519,0.19884,-0.313776,-172.969,0,6.32171
1.89016,1.116,-26.5651,11,1.94207,0.0647355,-0.48691,-268.409,0,2.32388
1.89816,1.124,-26.5651,11,8.01482,0.267161,-0.381199,-210.136,0,8.54642
1.90616,1.124,-0,11,4.06216,0.135405,-0.500053,-275.654,0,4.27343
1.91416,1.124,-26.5651,11,0.91368,0.030456,-0.427502,-235.661,0,1.16461
1.92216,1.132,-26.5651,11,6.61754,0.220585,-0.363621,-200.446,0,6.93515
1.93016,1.132,-0,11,3.3316,0.111053,-0.525738,-289.813,0,3.49634
1.93816,1.132,-26.5651,11,0.68989,0.0229963,-0.460864,-254.051,0,0.940133
1.94616,1.14,-26.5651,11,6.46565,0.215522,-0.48756,-268.767,0,6.81593
1.95416,1.14,-26.5651,11,2.73023,0.0910075,-0.41485,-228.686,0,3.28502
1.96216,1.148,-26.5651,11,8.6564,0.288547,-0.346607,-191.067,0,9.26809
1.97016,1.148,-26.5651,11,3.06851,0.102284,-0.514269,-283.491,0,3.64841
1.97816,1.156,-26.5651,11,11.6111,0.387037,-0.492334,-271.399,0,12.2666
1.98616,1.156,-0,11,6.44007,0.214669,-0.762124,-420.121,0,6.62872
1.99416,1.156,-0,11,3.12485,0.104162,-0.725611,-399.993,0,3.21499
2.00216,1.156,-26.5651,11,0.83086,0.0276953,-0.429838,-236.948,0,1.12929
2.01016,1.164,-26.5651,11,8.7778,0.292593,-0.575362,-317.168,0,9.08531
2.01816,1.164,-0,11,5.15756,0.171919,-0.776214,-427.888,0,5.27775
2.02616,1.164,-0,11,3.18116,0.106039,-0.541979,-298.766,0,3.20187
2.03416,1.164,-26.5651,11,1.26851,0.0422838,-0.432908,-238.64,0,1.58302
2.04216,1.172,-26.5651,11,9.35499,0.311833,-0.548381,-302.295,0,9.62631
2.05016,1.172,-0,11,6.62928,0.220976,-0.615161,-339.108,0,6.69414
2.05816,1.172,-0,11,4.88393,0.162798,-0.736791,-406.156,0,4.94181
2.06616,1.172,-0,11,4.06273,0.135424,-0.560202,-308.812,0,4.11913
