x_v2_m,z_wand_m,winkel_grad,n_saeulen,ux_erstezelle_ms,ux_rel,cp_erstezelle,p_erstezelle_Pa,anteil_ux_negativ,umag_erstezelle_ms
1.60216,0.974,-0,21,6.69871,0.22329,-0.496088,-273.469,0,7.5711
1.60616,0.974,-26.5651,21,2.07579,0.0691929,-0.688595,-379.588,0,2.47753
1.61016,0.978,-26.5651,21,6.07506,0.202502,-0.439827,-242.455,0,6.7139
1.61416,0.978,-26.5651,21,1.96495,0.0654984,-0.468831,-258.443,0,2.31931
1.61816,0.982,-26.5651,21,5.52266,0.184089,-0.308827,-170.241,0,6.18389
1.62216,0.982,-26.5651,21,2.11565,0.0705216,-0.300392,-165.591,0,2.49668
1.62616,0.986,-42.1376,21,3.8792,0.129307,-0.220199,-121.385,0,5.01762
1.63016,0.989238,-26.5651,21,6.2852,0.209507,-0.213594,-117.744,0,6.97085
1.63416,0.99,-30.7627,21,2.68811,0.0896036,-0.102805,-56.6715,0,3.15872
1.63816,0.994,-26.5651,21,6.63382,0.221127,0.00944525,5.20669,0,7.23749
1.64216,0.994,-26.5651,21,2.29663,0.0765543,-0.0847243,-46.7043,0,2.58689
1.64616,0.998,-26.5651,21,5.86328,0.195443,0.154309,85.0628,0,6.33888
1.65016,0.998,-26.5651,21,2.34554,0.0781847,0.158161,87.1862,0,2.60435
1.65416,1.002,-26.5651,21,5.22113,0.174038,0.322944,178.023,0,5.76826
1.65816,1.002,-26.5651,21,1.96653,0.065551,0.476637,262.746,0,2.26593
1.66216,1.006,-43.6028,21,3.754,0.125133,0.455611,251.155,0,5.05073
1.66616,1.00962,-26.5651,21,6.59727,0.219909,0.274,151.043,0,7.46057
1.67016,1.01,-28.706,21,2.5089,0.08363,0.524154,288.94,0,3.1534
1.67416,1.014,-26.5651,21,6.4251,0.21417,0.219176,120.821,0,7.19691
1.67816,1.014,-26.5651,21,2.06277,0.0687592,0.366366,201.959,0,2.67808
1.68216,1.018,-26.5651,21,6.06356,0.202119,0.027124,14.9521,0,6.76444
1.68616,1.018,-26.5651,21,1.75148,0.0583826,0.0770115,42.4526,0,2.46853
1.69016,1.022,-26.5651,21,5.88253,0.196084,-0.0802513,-44.2385,0,6.64355
1.69416,1.022,-26.5651,21,2.07798,0.0692659,-0.242076,-133.444,0,2.63013
1.69816,1.026,-45,21,4.08395,0.136132,-0.144318,-79.5555,0,5.82072
1.70216,1.03,-26.5651,21,7.68618,0.256206,-0.54019,-297.78,0,8.68179
1.70616,1.03,-24.3411,21,2.51969,0.0839896,-0.82887,-456.915,0,3.17737
1.71016,1.03362,-26.5651,21,6.48343,0.216114,-0.653064,-360.001,0.047619,7.24895
1.71416,1.034,-17.1985,21,2.97329,0.0991098,-0.800291,-441.16,0,3.32113
1.71816,1.0361,-26.5651,21,3.96082,0.132027,-0.870612,-479.925,0,4.64337
1.72216,1.038,-24.3411,21,3.60263,0.120088,-0.709381,-391.046,0,3.96683
1.72616,1.03971,-26.5651,21,3.48252,0.116084,-0.739448,-407.621,0,3.9616
1.73016,1.042,-26.5651,21,3.86718,0.128906,-0.498351,-274.716,0,4.28232
1.73416,1.04371,-26.5651,21,3.68318,0.122773,-0.5641,-310.96,0,4.07211
1.73816,1.046,-24.3411,21,4.32244,0.144081,-0.238751,-131.611,0,4.75137
1.74216,1.04733,-26.5651,21,3.17232,0.105744,-0.266761,-147.052,0,3.52839
1.74616,1.05,-24.3411,21,4.4428,0.148093,-0.0209428,-11.5447,0,4.77499
1.75016,1.05095,-26.5651,21,2.76451,0.0921502,-0.146342,-80.6709,0,3.09137
1.75416,1.054,-20.8545,21,4.83186,0.161062,0.0438098,24.1502,0,5.22118
1.75816,1.054,-26.5651,21,1.61485,0.0538282,0.29711,163.782,0,1.89314
1.76216,1.058,-26.5651,21,5.40618,0.180206,0.0416905,22.9819,0,5.84758
1.76616,1.058,-26.5651,21,2.01273,0.067091,0.189365,104.388,0,2.31347
1.77016,1.062,-26.5651,21,5.66132,0.188711,0.0039728,2.19001,0,6.20511
1.77416,1.062,-26.5651,21,2.28749,0.0762496,0.303126,167.098,0,2.75378
1.77816,1.066,-26.5651,21,5.73292,0.191097,0.0462076,25.472,0,6.37196
1.78216,1.066,-26.5651,21,2.19391,0.0731304,0.310989,171.433,0,2.68106
1.78616,1.07,-26.5651,21,5.86962,0.195654,-0.0523084,-28.835,0,6.58921
1.79016,1.07,-26.5651,21,2.3107,0.0770233,0.332711,183.407,0,2.95168
1.79416,1.074,-26.5651,21,6.45492,0.215164,-0.177392,-97.7874,0,7.12217
1.79816,1.074,-26.5651,21,2.56862,0.0856206,-0.0324623,-17.8948,0,3.30592
1.80216,1.078,-26.5651,21,6.87637,0.229212,-0.395297,-217.908,0,7.54492
1.80616,1.078,-26.5651,21,2.11158,0.0703861,-0.34832,-192.011,0,2.87063
1.81016,1.082,-26.5651,21,7.69288,0.256429,-0.57573,-317.371,0,8.3681
1.81416,1.082,-26.5651,21,3.05825,0.101942,-0.744173,-410.225,0,3.69259
1.81816,1.086,-26.5651,21,8.16787,0.272262,-0.808233,-445.538,0,8.96348
1.82216,1.086,-26.5651,21,2.8056,0.0935201,-0.939053,-517.653,0,3.43399
1.82616,1.09,-26.5651,21,8.64063,0.288021,-0.97886,-539.597,0,9.38794
1.83016,1.09,-0,21,4.01677,0.133892,-0.989541,-545.485,0,4.21972
1.83416,1.09,-26.5651,21,0.860711,0.0286904,-1.20458,-664.025,0,1.14874
1.83816,1.094,-26.5651,21,5.98114,0.199371,-0.912763,-503.161,0,6.28909
1.84216,1.094,-26.5651,21,2.13838,0.0712793,-0.895779,-493.798,0,2.50521
1.84616,1.098,-26.5651,21,7.81456,0.260485,-0.7247,-399.491,0,8.31847
1.85016,1.098,-17.1985,21,3.38845,0.112948,-0.863728,-476.13,0,3.78367
1.85416,1.10048,-26.5651,21,6.04353,0.201451,-0.767602,-423.141,0,6.48637
1.85816,1.102,-10.7843,21,5.23425,0.174475,-0.436297,-240.509,0,5.36403
1.86216,1.102,-26.5651,21,1.66826,0.0556088,-0.755069,-416.232,0,1.9223
1.86616,1.106,-26.5651,21,7.07989,0.235996,-0.176108,-97.0796,0,7.3833
1.87016,1.106,-26.5651,21,2.67572,0.0891906,-0.403807,-222.599,0,2.98402
1.87416,1.11,-26.5651,21,9.02614,0.300871,-0.122243,-67.3862,0,9.56094
1.87816,1.11,-0,21,4.37426,0.145809,0.0582068,32.0865,0,4.5437
1.88216,1.11,-26.5651,21,0.901384,0.0300461,0.0743624,40.9923,0,1.01004
1.88616,1.114,-26.5651,21,6.65857,0.221952,0.222846,122.844,0,6.93924
1.89016,1.114,-26.5651,21,2.77535,0.0925117,0.217648,119.978,0,3.19353
1.89416,1.118,-26.5651,21,8.65025,0.288342,0.164831,90.863,0,9.17399
1.89816,1.118,-19.6538,21,3.917,0.130567,-0.062596,-34.5061,0,4.49293
1.90216,1.12086,-26.5651,21,6.96268,0.232089,0.0198021,10.9159,0,7.72069
1.90616,1.122,-8.1301,21,5.11412,0.170471,0.174671,96.2872,0,5.51767
1.91016,1.122,-26.5651,21,1.46108,0.0487027,0.0260768,14.3749,0,1.8729
1.91416,1.126,-26.5651,21,8.14312,0.271437,-0.138404,-76.2951,0,8.75448
1.91816,1.126,-0,21,3.88335,0.129445,-0.269947,-148.808,0,4.30355
1.92216,1.126,-26.5651,21,0.790614,0.0263538,-0.196891,-108.536,0,1.3056
1.92616,1.13,-26.5651,21,6.9246,0.23082,-0.383462,-211.384,0,7.48054
1.93016,1.13,-0,21,3.0904,0.103013,-0.503342,-277.467,0,3.42422
1.93416,1.13,-26.5651,21,0.549986,0.0183329,-0.52781,-290.955,0,1.01093
1.93816,1.134,-26.5651,21,6.17985,0.205995,-0.575442,-317.212,0,6.68634
1.94216,1.134,-14.6764,21,2.30792,0.0769307,-0.73908,-407.418,0,2.73737
1.94616,1.1361,-26.5651,21,4.24148,0.141383,-0.717809,-395.692,0,4.7648
1.95016,1.138,-13.3925,21,4.92786,0.164262,-0.8725,-480.966,0,5.26455
1.95416,1.138,-26.5651,21,1.40751,0.0469171,-0.93165,-513.572,0,1.94006
1.95816,1.142,-26.5651,21,8.07257,0.269086,-1.00633,-554.738,0,8.50096
1.96216,1.142,-26.5651,21,3.32688,0.110896,-1.35274,-745.699,0,4.07654
1.96616,1.146,-26.5651,21,10.3678,0.345594,-1.10726,-610.38,0,10.9663
1.97016,1.146,-26.5651,21,4.03932,0.134644,-1.31793,-726.511,0,4.77307
1.97416,1.15,-26.5651,21,12.3813,0.412711,-1.12298,-619.041,0,13.1941
1.97816,1.15,-0,21,6.33286,0.211095,-1.31588,-725.381,0,6.54447
1.98216,1.15,-26.5651,21,1.58251,0.0527502,-1.22563,-675.629,0,2.00453
1.98616,1.154,-26.5651,21,10.9269,0.364231,-1.05841,-583.451,0,11.2983
1.99016,1.154,-0,21,5.75692,0.191897,-1.33583,-736.375,0,5.91441
1.99416,1.154,-0,21,2.61875,0.0872915,-1.34139,-739.442,0,2.64108
1.99816,1.154,-26.5651,21,1.04217,0.0347389,-1.02261,-563.715,0,1.12313
2.00216,1.158,-26.5651,21,7.03935,0.234645,-1.0435,-575.23,0,7.23939
2.00616,1.158,-0,21,3.5933,0.119777,-1.06477,-586.956,0,3.67177
2.01016,1.158,-0,21,2.15526,0.0718421,-0.935015,-515.427,0,2.24592
2.01416,1.158,-26.5651,21,1.13266,0.0377553,-0.85782,-472.873,0,1.31307
2.01816,1.162,-26.5651,21,6.68693,0.222898,-0.742653,-409.387,0,6.83496
2.02216,1.162,-0,21,4.54553,0.151518,-0.652891,-359.906,0,4.58211
2.02616,1.162,-26.5651,21,1.54494,0.0514981,-0.821071,-452.615,0,1.80902
2.03016,1.166,-26.5651,21,10.2841,0.342803,-0.486591,-268.234,0,10.4955
2.03416,1.166,-0,21,6.62685,0.220895,-0.403686,-222.532,0,6.70013
2.03816,1.166,-0,21,4.11113,0.137038,-0.324117,-178.67,0,4.15472
2.04216,1.166,-0,21,2.98757,0.0995857,0.0419348,23.1165,0,3.01752
2.04616,1.166,-26.5651,21,1.25402,0.0418006,0.128655,70.921,0,1.41193
2.05016,1.17,-26.5651,21,9.24207,0.308069,-0.214273,-118.118,0,9.43236
2.05416,1.17,-0,21,6.38701,0.2129,-0.23007,-126.826,0,6.43533
2.05816,1.17,-0,21,4.49513,0.149838,-0.275941,-152.112,0,4.54732
2.06216,1.17,-0,21,3.45445,0.115148,-0.207149,-114.191,0,3.51408
2.06616,1.17,-0,21,2.61387,0.0871289,-0.179466,-98.9307,0,2.66091
2.07016,1.17,-9.46232,21,1.68117,0.0560389,-0.0814714,-44.9111,0,1.80434
2.07416,1.17133,-26.5651,21,3.23545,0.107848,-0.13964,-76.9766,0,3.47261
2.07816,1.174,-18.4349,21,7.11383,0.237128,-0.31445,-173.341,0,7.21906
2.08216,1.174,-0,21,5.50567,0.183522,-0.258908,-142.723,0,5.56047
2.08616,1.174,-0,21,4.03739,0.13458,-0.184952,-101.955,0,4.14181
2.09016,1.174,-0,21,3.12789,0.104263,-0.116504,-64.2228,0,3.23262
2.09416,1.174,-0,21,2.48913,0.0829711,0.143064,78.864,0,2.62419
2.09816,1.174,-26.5651,21,0.992397,0.0330799,0.0417558,23.0179,0,1.33223
2.10216,1.178,-26.5651,21,8.99227,0.299742,-0.273824,-150.946,0,9.23435
2.10616,1.178,-0,21,6.77795,0.225932,-0.369291,-203.572,0,6.89041
2.11016,1.178,-0,21,4.8238,0.160793,-0.357749,-197.209,0,4.93649
2.11416,1.178,-0,21,3.81851,0.127284,-0.275471,-151.854,0,3.91871
2.11816,1.178,-0,21,3.48817,0.116272,-0.313189,-172.645,0,3.56528
2.12216,1.178,-0,21,3.02045,0.100682,-0.280688,-154.729,0,3.11029
2.12616,1.178,-0,21,2.3438,0.0781266,-0.185331,-102.164,0,2.46956
2.13016,1.178,-19.6538,21,1.04578,0.0348593,-0.207878,-114.593,0,1.38437
2.13416,1.18086,-26.5651,21,6.35216,0.211739,-0.44789,-246.899,0,6.6512
2.13816,1.182,-8.1301,21,6.71087,0.223696,-0.657112,-362.233,0,6.85573
2.14216,1.182,-0,21,4.97624,0.165875,-0.883186,-486.856,0,5.06747
2.14616,1.182,-0,21,4.46769,0.148923,-0.778859,-429.346,0,4.52315
2.15016,1.182,-0,21,4.39042,0.146347,-0.675557,-372.401,0,4.44458
2.15416,1.182,-0,21,4.03408,0.134469,-0.64217,-353.996,0,4.10626
2.15816,1.182,-0,21,3.7794,0.12598,-0.592234,-326.469,0,3.84844
2.16216,1.182,-0,21,3.5877,0.11959,-0.530714,-292.556,0,3.68504
2.16616,1.182,-0,21,3.30725,0.110242,-0.522256,-287.893,0,3.42542
2.17016,1.182,-0,21,3.13271,0.104424,-0.490101,-270.168,0,3.25531
2.17416,1.182,-0,21,2.91156,0.0970521,-0.480597,-264.929,0,3.04634
2.17816,1.182,-0,21,2.58911,0.0863036,-0.546086,-301.03,0,2.70515
2.18216,1.182,-0,21,2.32974,0.0776579,-0.59103,-325.805,0,2.40722
2.18616,1.182,-0,21,2.10796,0.0702655,-0.612168,-337.458,0,2.18696
2.19016,1.182,-0,21,1.75855,0.0586183,-0.637814,-351.595,0.0952381,1.96514
