x_v2_m,z_wand_m,winkel_grad,n_saeulen,ux_erstezelle_ms,ux_rel,cp_erstezelle,p_erstezelle_Pa,anteil_ux_negativ,umag_erstezelle_ms
1.60216,0.972,-45,11,1.50311,0.0501037,0.0647972,35.7195,0,1.82997
1.61016,0.98,-45,11,2.94439,0.0981462,0.0732435,40.3755,0,4.08767
1.61816,0.988,-26.5651,11,5.85973,0.195324,-0.0710221,-39.1509,0,6.52554
1.62616,0.988,-26.5651,11,1.60871,0.0536237,-0.036869,-20.324,0,1.95898
1.63416,0.996,-26.5651,11,5.15253,0.171751,-0.0671335,-37.0074,0,5.60972
1.64216,0.996,-26.5651,11,1.60541,0.0535138,-0.0114903,-6.33404,0,1.95673
1.65016,1.004,-26.5651,11,4.84463,0.161488,-0.0777094,-42.8373,0,5.20566
1.65816,1.004,-26.5651,11,1.74647,0.0582156,-0.0328462,-18.1065,0,2.10803
1.66616,1.012,-26.5651,11,4.49925,0.149975,-0.0825946,-45.5303,0,4.89645
1.67416,1.012,-26.5651,11,1.58404,0.0528012,-0.0273008,-15.0496,0,1.94194
1.68216,1.02,-45,11,2.84707,0.0949022,-0.0187999,-10.3634,0,3.98597
1.69016,1.028,-26.5651,11,5.29232,0.176411,-0.165199,-91.0659,0,5.81076
1.69816,1.028,-26.5651,11,1.60499,0.0534996,-0.191958,-105.817,0,1.94868
1.70616,1.036,-26.5651,11,4.82024,0.160675,-0.232948,-128.412,0,5.19518
1.71416,1.036,-26.5651,11,1.6705,0.0556834,-0.156756,-86.412,0,2.03973
1.72216,1.044,-26.5651,11,4.69383,0.156461,-0.230951,-127.312,0,5.06104
1.73016,1.044,-26.5651,11,1.70003,0.0566677,-0.176482,-97.2859,0,2.08162
1.73816,1.052,-26.5651,11,4.56218,0.152073,-0.220793,-121.712,0,5.05049
1.74616,1.052,-26.5651,11,1.47844,0.0492814,-0.232754,-128.306,0,1.82547
1.75416,1.06,-26.5651,11,4.4578,0.148593,-0.249525,-137.551,0,4.94811
1.76216,1.06,-26.5651,11,1.36937,0.0456458,-0.262242,-144.561,0,1.71794
1.77016,1.068,-26.5651,11,4.93452,0.164484,-0.279884,-154.286,0,5.40874
1.77816,1.068,-26.5651,11,1.55515,0.0518383,-0.246834,-136.067,0,1.93295
1.78616,1.076,-26.5651,11,5.56529,0.18551,-0.291866,-160.891,0,6.05125
1.79416,1.076,-26.5651,11,1.85344,0.0617814,-0.254325,-140.197,0,2.25472
1.80216,1.084,-26.5651,11,6.42314,0.214105,-0.318643,-175.652,0,6.8862
1.81016,1.084,-7.76517,11,2.77577,0.0925258,-0.270468,-149.096,0,3.05878
1.81816,1.08618,-26.5651,11,3.06506,0.102169,-0.331927,-182.975,0,3.37764
1.82616,1.092,-19.9831,11,4.42946,0.147649,-0.309818,-170.787,0,4.65501
1.83416,1.092,-26.5651,11,1.511,0.0503668,-0.299486,-165.092,0,1.86638
1.84216,1.1,-26.5651,11,6.26795,0.208932,-0.350655,-193.299,0,6.58729
1.85016,1.1,-26.5651,11,2.34575,0.0781915,-0.298761,-164.692,0,2.85701
1.85816,1.108,-26.5651,11,7.52929,0.250976,-0.403158,-222.241,0,8.0146
1.86616,1.108,-0,11,3.75975,0.125325,-0.37039,-204.178,0,3.94417
1.87416,1.108,-26.5651,11,1.04645,0.0348818,-0.386131,-212.855,0,1.26784
1.88216,1.116,-26.5651,11,5.93119,0.197706,-0.371679,-204.888,0,6.1899
1.89016,1.116,-26.5651,11,2.14409,0.0714696,-0.361038,-199.022,0,2.58771
1.89816,1.124,-26.5651,11,7.87011,0.262337,-0.419365,-231.175,0,8.31515
1.90616,1.124,-0,11,4.23545,0.141182,-0.428158,-236.022,0,4.39844
1.91416,1.124,-26.5651,11,1.32501,0.044167,-0.431258,-237.731,0,1.62111
1.92216,1.132,-26.5651,11,7.17796,0.239265,-0.407775,-224.786,0,7.50271
1.93016,1.132,-0,11,3.56901,0.118967,-0.426657,-235.194,0,3.79363
1.93816,1.132,-26.5651,11,0.909804,0.0303268,-0.450976,-248.6,0,1.20144
1.94616,1.14,-26.5651,11,6.33091,0.21103,-0.413247,-227.802,0,6.71332
1.95416,1.14,-26.5651,11,2.03454,0.067818,-0.471966,-260.171,0,2.51629
1.96216,1.148,-26.5651,11,9.48704,0.316235,-0.466874,-257.364,0,9.91801
1.97016,1.148,-26.5651,11,3.57926,0.119309,-0.439898,-242.494,0,4.3466
1.97816,1.156,-26.5651,11,13.0763,0.435876,-0.551992,-304.286,0,13.705
1.98616,1.156,-0,11,7.60341,0.253447,-0.580157,-319.812,0,7.8081
1.99416,1.156,-0,11,4.25683,0.141894,-0.688498,-379.534,0,4.33051
2.00216,1.156,-26.5651,11,1.6403,0.0546768,-0.489533,-269.855,0,2.01075
2.01016,1.164,-26.5651,11,10.6713,0.355709,-0.600908,-331.25,0,11.0102
2.01816,1.164,-0,11,6.25275,0.208425,-0.658078,-362.765,0,6.37135
2.02616,1.164,-0,11,4.15392,0.138464,-0.594057,-327.474,0,4.18218
2.03416,1.164,-26.5651,11,1.85893,0.0619643,-0.416033,-229.338,0,2.27549
2.04216,1.172,-26.5651,11,10.7842,0.359475,-0.657885,-362.659,0,11.0501
2.05016,1.172,-0,11,7.37014,0.245671,-0.622216,-342.996,0,7.42481
2.05816,1.172,-0,11,5.36497,0.178832,-0.594061,-327.476,0,5.3833
2.06616,1.172,-0,11,4.05322,0.135107,-0.522235,-287.882,0,4.08053
2.07416,1.172,-0,11,3.08936,0.102979,-0.504387,-278.043,0,3.11923
2.08216,1.172,-26.5651,11,1.35429,0.0451429,-0.495536,-273.164,0,1.6599
2.09016,1.18,-26.5651,11,9.51086,0.317029,-0.596157,-328.632,0,9.6739
2.09816,1.18,-0,11,6.92371,0.23079,-0.587939,-324.101,0,6.96143
2.10616,1.18,-0,11,5.38234,0.179411,-0.583123,-321.447,0,5.39904
2.11416,1.18,-0,11,4.48769,0.14959,-0.53185,-293.183,0,4.50254
2.12216,1.18,-0,11,3.7884,0.12628,-0.500093,-275.676,0,3.80635
2.13016,1.18,-0,11,3.17586,0.105862,-0.493842,-272.23,0,3.21035
2.13816,1.18,-0,11,2.55089,0.0850297,-0.493694,-272.149,0,2.61522
