step,t_si,Fx_si,Fy_si,Fz_si
9000,2.250000e-01,5.653997e+02,-3.708496e-02,1.043698e+03
9100,2.275000e-01,5.746732e+02,-1.160400e-01,1.046149e+03
9200,2.300000e-01,6.001518e+02,8.732909e-02,1.044923e+03
9300,2.325000e-01,5.871316e+02,-2.033691e-02,1.043699e+03
9400,2.350000e-01,5.679621e+02,7.544097e-02,1.044924e+03
9500,2.375000e-01,5.769581e+02,4.665527e-02,1.043698e+03
9600,2.400000e-01,5.835954e+02,1.160400e-01,1.044924e+03
9700,2.425000e-01,6.080547e+02,4.904785e-02,1.044924e+03
9800,2.450000e-01,5.717615e+02,2.033691e-02,1.044924e+03
9900,2.475000e-01,5.644904e+02,-5.622558e-02,1.042474e+03
10000,2.500000e-01,5.838224e+02,-1.794433e-02,1.044923e+03
10100,2.525000e-01,5.982332e+02,5.861815e-02,1.044923e+03
10200,2.550000e-01,5.812937e+02,-1.794433e-02,1.044924e+03
10300,2.575000e-01,5.559178e+02,3.947753e-02,1.044923e+03
10400,2.600000e-01,5.786426e+02,5.861815e-02,1.043698e+03
10500,2.625000e-01,5.877344e+02,1.543213e-01,1.044922e+03
10600,2.650000e-01,5.970798e+02,9.570312e-03,1.044924e+03
10700,2.675000e-01,5.598084e+02,-5.555267e-02,1.044924e+03
10800,2.700000e-01,5.656389e+02,-8.374022e-03,1.043699e+03
10900,2.725000e-01,5.908471e+02,-1.547699e-02,1.043698e+03
11000,2.750000e-01,5.893137e+02,3.947753e-02,1.044923e+03
11100,2.775000e-01,5.795951e+02,3.663635e-03,1.044924e+03
11200,2.800000e-01,5.577769e+02,5.861815e-02,1.044923e+03
11300,2.825000e-01,5.859498e+02,7.536620e-02,1.043698e+03
